"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","Cisco_55:d9:90","Broadcast","802.11","313","Beacon frame, SN=2891, FN=0, Flags=........C, BI=102, SSID=""eduroam"""
"2","0.009534","Cisco_44:42:00","Broadcast","802.11","313","Beacon frame, SN=2825, FN=0, Flags=........C, BI=102, SSID=""eduroam"""
"3","0.012366","Cisco_55:d9:94","Broadcast","802.11","275","Beacon frame, SN=2892, FN=0, Flags=........C, BI=102, SSID=""UTguest"""
"4","0.021960","Cisco_44:42:04","Broadcast","802.11","275","Beacon frame, SN=2826, FN=0, Flags=........C, BI=102, SSID=""UTguest"""
"5","0.031251","Cisco_79:14:50","Broadcast","802.11","313","Beacon frame, SN=2853, FN=0, Flags=........C, BI=102, SSID=""eduroam"""
"6","0.042374","Cisco_79:14:54","Broadcast","802.11","275","Beacon frame, SN=2854, FN=0, Flags=........C, BI=102, SSID=""UTguest"""
"7","0.045691","Cisco_ea:55:40","Broadcast","802.11","102","Beacon frame, SN=1626, FN=0, Flags=........C, BI=102, SSID=""eduroam""[Malformed Packet: length of contained item exceeds length of containing item]"
"8","0.049228","Cisco_55:d9:91","Broadcast","802.11","263","Beacon frame, SN=2893, FN=0, Flags=........C, BI=102, SSID=""Guest"""
"9","0.058718","Cisco_44:42:01","Broadcast","802.11","263","Beacon frame, SN=2827, FN=0, Flags=........C, BI=102, SSID=""Guest"""
"10","0.060667","Cisco_ea:55:44","Broadcast","802.11","275","Beacon frame, SN=1627, FN=0, Flags=........C, BI=102, SSID=""UTguest"""
"11","0.079285","Cisco_79:14:51","Broadcast","802.11","263","Beacon frame, SN=2855, FN=0, Flags=........C, BI=102, SSID=""Guest"""
"12","0.086157","f2:21:67:02:d4:c1","Cisco_55:d9:90","802.11","53","Null function (No data), SN=213, FN=0, Flags=.......TC"
"13","0.086253","","f2:21:67:02:d4:c1 (f2:21:67:02:d4:c1) (RA)","802.11","39","Acknowledgement, Flags=........C"
"14","0.086348","f2:21:67:02:d4:c1","Cisco_55:d9:90","802.11","53","Null function (No data), SN=3018, FN=0, Flags=.......TC"
"15","0.086390","","f2:21:67:02:d4:c1 (f2:21:67:02:d4:c1) (RA)","802.11","39","Acknowledgement, Flags=........C"
"16","0.095366","Cisco_ea:55:41","Broadcast","802.11","263","Beacon frame, SN=1628, FN=0, Flags=........C, BI=102, SSID=""Guest"""
"17","0.107674","Cisco_55:d9:90","Broadcast","802.11","313","Beacon frame, SN=2894, FN=0, Flags=........C, BI=102, SSID=""eduroam"""
"18","0.113988","Cisco_44:42:00","Broadcast","802.11","313","Beacon frame, SN=2828, FN=0, Flags=........C, BI=102, SSID=""eduroam"""
"19","0.116826","Cisco_55:d9:94","Broadcast","802.11","275","Beacon frame, SN=2895, FN=0, Flags=........C, BI=102, SSID=""UTguest"""
"20","0.126268","Cisco_44:42:04","Broadcast","802.11","275","Beacon frame, SN=2829, FN=0, Flags=........C, BI=102, SSID=""UTguest"""
"21","0.146838","Cisco_79:14:54","Broadcast","802.11","275","Beacon frame, SN=2857, FN=0, Flags=........C, BI=102, SSID=""UTguest"""
"22","0.162549","Cisco_ea:55:44","Broadcast","802.11","275","Beacon frame, SN=1630, FN=0, Flags=........C, BI=102, SSID=""UTguest"""
"23","0.163111","Cisco_44:42:01","Broadcast","802.11","263","Beacon frame, SN=2830, FN=0, Flags=........C, BI=102, SSID=""Guest"""
"24","0.164721","f2:21:67:02:d4:c1","Cisco_55:d9:90","802.11","53","Null function (No data), SN=214, FN=0, Flags=...P...TC"
"25","0.165429","f2:21:67:02:d4:c1","Cisco_55:d9:90","802.11","53","Null function (No data), SN=215, FN=0, Flags=.......TC"
"26","0.166191","f2:21:67:02:d4:c1","Cisco_55:d9:90","802.11","53","Null function (No data), SN=216, FN=0, Flags=.......TC"
"27","0.166930","f2:21:67:02:d4:c1","Cisco_55:d9:90","802.11","53","Null function (No data), SN=217, FN=0, Flags=.......TC"
"28","0.166967","f2:21:67:02:d4:c1","Cisco_55:d9:90","802.11","53","Null function (No data), SN=217, FN=0, Flags=....R..TC"
"29","0.167029","f2:21:67:02:d4:c1","Cisco_55:d9:90","802.11","53","Null function (No data), SN=217, FN=0, Flags=....R..TC"
"30","0.167711","9e:80:84:62:a2:91","8c:17:18:e0:d4:95","802.11","53","Null function (No data), SN=217, FN=0, Flags=....R..TC"
"31","0.168442","f2:21:67:02:d4:c1","Cisco_55:d9:90","802.11","53","Null function (No data), SN=217, FN=0, Flags=....R..TC"
"32","0.169983","f2:21:67:02:d4:c1","Cisco_55:d9:90","802.11","53","Null function (No data), SN=217, FN=0, Flags=....R..TC"
"33","0.183655","Cisco_79:14:51","Broadcast","802.11","263","Beacon frame, SN=2858, FN=0, Flags=........C, BI=102, SSID=""Guest"""
"34","0.199390","Cisco_ea:55:41","Broadcast","802.11","263","Beacon frame, SN=1631, FN=0, Flags=........C, BI=102, SSID=""Guest"""
"35","0.201837","f2:21:67:02:d4:c1","Cisco_55:d9:90","802.11","53","Null function (No data), SN=218, FN=0, Flags=.......TC"
"36","0.202135","","f2:21:67:02:d4:c1 (f2:21:67:02:d4:c1) (RA)","802.11","39","Acknowledgement, Flags=........C"
"37","0.202208","f2:21:67:02:d4:c1","Cisco_55:d9:90","802.11","53","Null function (No data), SN=3019, FN=0, Flags=...P...TC"
"38","0.202247","","f2:21:67:02:d4:c1 (f2:21:67:02:d4:c1) (RA)","802.11","39","Acknowledgement, Flags=........C"
