,frame.time,count_First,count_Last,count_CumSum
13,2024-01-08 11:12:00+01:00,1.0,1.0,0.0
14,2024-01-08 11:13:00+01:00,1.0,0.0,1.0
15,2024-01-08 11:14:00+01:00,3.0,1.0,3.0
16,2024-01-08 11:15:00+01:00,2.0,0.0,5.0
17,2024-01-08 11:16:00+01:00,1.0,0.0,6.0
18,2024-01-08 11:17:00+01:00,2.0,0.0,8.0
19,2024-01-08 11:18:00+01:00,7.0,0.0,15.0
20,2024-01-08 11:19:00+01:00,1.0,0.0,16.0
21,2024-01-08 11:20:00+01:00,4.0,1.0,19.0
22,2024-01-08 11:21:00+01:00,1.0,0.0,20.0
23,2024-01-08 11:22:00+01:00,1.0,0.0,21.0
24,2024-01-08 11:23:00+01:00,6.0,0.0,27.0
25,2024-01-08 11:24:00+01:00,1.0,2.0,26.0
26,2024-01-08 11:25:00+01:00,4.0,0.0,30.0
27,2024-01-08 11:26:00+01:00,4.0,2.0,32.0
28,2024-01-08 11:27:00+01:00,1.0,0.0,33.0
29,2024-01-08 11:28:00+01:00,4.0,1.0,36.0
30,2024-01-08 11:29:00+01:00,4.0,1.0,39.0
31,2024-01-08 11:30:00+01:00,6.0,1.0,44.0
32,2024-01-08 11:31:00+01:00,9.0,0.0,53.0
33,2024-01-08 11:32:00+01:00,7.0,0.0,60.0
34,2024-01-08 11:33:00+01:00,4.0,4.0,60.0
35,2024-01-08 11:34:00+01:00,9.0,1.0,68.0
36,2024-01-08 11:35:00+01:00,11.0,2.0,77.0
37,2024-01-08 11:36:00+01:00,10.0,2.0,85.0
38,2024-01-08 11:37:00+01:00,10.0,4.0,91.0
39,2024-01-08 11:38:00+01:00,11.0,9.0,93.0
40,2024-01-08 11:39:00+01:00,6.0,7.0,92.0
41,2024-01-08 11:40:00+01:00,4.0,6.0,90.0
42,2024-01-08 11:41:00+01:00,5.0,2.0,93.0
43,2024-01-08 11:42:00+01:00,8.0,3.0,98.0
44,2024-01-08 11:43:00+01:00,6.0,2.0,102.0
45,2024-01-08 11:44:00+01:00,3.0,1.0,104.0
46,2024-01-08 11:45:00+01:00,4.0,0.0,108.0
47,2024-01-08 11:46:00+01:00,3.0,2.0,109.0
48,2024-01-08 11:47:00+01:00,7.0,3.0,113.0
49,2024-01-08 11:48:00+01:00,9.0,0.0,122.0
50,2024-01-08 11:49:00+01:00,2.0,10.0,114.0
51,2024-01-08 11:50:00+01:00,8.0,10.0,112.0
52,2024-01-08 11:51:00+01:00,11.0,8.0,115.0
53,2024-01-08 11:52:00+01:00,9.0,7.0,117.0
54,2024-01-08 11:53:00+01:00,14.0,9.0,122.0
55,2024-01-08 11:54:00+01:00,18.0,9.0,131.0
56,2024-01-08 11:55:00+01:00,21.0,3.0,149.0
57,2024-01-08 11:56:00+01:00,34.0,7.0,176.0
58,2024-01-08 11:57:00+01:00,38.0,14.0,200.0
59,2024-01-08 11:58:00+01:00,25.0,10.0,215.0
60,2024-01-08 11:59:00+01:00,31.0,11.0,235.0
61,2024-01-08 12:00:00+01:00,22.0,6.0,251.0
62,2024-01-08 12:01:00+01:00,27.0,5.0,273.0
63,2024-01-08 12:02:00+01:00,20.0,11.0,282.0
64,2024-01-08 12:03:00+01:00,23.0,7.0,298.0
65,2024-01-08 12:04:00+01:00,26.0,6.0,318.0
66,2024-01-08 12:05:00+01:00,23.0,11.0,330.0
67,2024-01-08 12:06:00+01:00,15.0,12.0,333.0
68,2024-01-08 12:07:00+01:00,23.0,9.0,347.0
69,2024-01-08 12:08:00+01:00,17.0,19.0,345.0
70,2024-01-08 12:09:00+01:00,23.0,26.0,342.0
71,2024-01-08 12:10:00+01:00,21.0,13.0,350.0
72,2024-01-08 12:11:00+01:00,25.0,5.0,370.0
73,2024-01-08 12:12:00+01:00,12.0,7.0,375.0
74,2024-01-08 12:13:00+01:00,21.0,21.0,375.0
75,2024-01-08 12:14:00+01:00,24.0,9.0,390.0
76,2024-01-08 12:15:00+01:00,19.0,8.0,401.0
77,2024-01-08 12:16:00+01:00,19.0,10.0,410.0
78,2024-01-08 12:17:00+01:00,10.0,13.0,407.0
