,frame.time,count_First,count_Last,count_CumSum
1,2024-01-12 11:00:00+01:00,8,6.0,8.0
2,2024-01-12 11:05:00+01:00,2,1.0,9.0
3,2024-01-12 11:10:00+01:00,7,3.0,13.0
4,2024-01-12 11:15:00+01:00,13,10.0,16.0
5,2024-01-12 11:20:00+01:00,19,16.0,19.0
6,2024-01-12 11:25:00+01:00,12,15.0,16.0
7,2024-01-12 11:30:00+01:00,32,32.0,16.0
8,2024-01-12 11:35:00+01:00,39,55.0,0.0
9,2024-01-12 11:40:00+01:00,53,17.0,36.0
10,2024-01-12 11:45:00+01:00,68,32.0,72.0
11,2024-01-12 11:50:00+01:00,91,44.0,119.0
12,2024-01-12 11:55:00+01:00,86,40.0,165.0
13,2024-01-12 12:00:00+01:00,113,59.0,219.0
14,2024-01-12 12:05:00+01:00,121,64.0,276.0
15,2024-01-12 12:10:00+01:00,80,68.0,288.0
16,2024-01-12 12:15:00+01:00,122,99.0,311.0
17,2024-01-12 12:20:00+01:00,113,76.0,348.0
18,2024-01-12 12:25:00+01:00,122,104.0,366.0
19,2024-01-12 12:30:00+01:00,118,102.0,382.0
20,2024-01-12 12:35:00+01:00,114,127.0,369.0
21,2024-01-12 12:40:00+01:00,87,97.0,359.0
22,2024-01-12 12:45:00+01:00,91,123.0,327.0
23,2024-01-12 12:50:00+01:00,91,104.0,314.0
24,2024-01-12 12:55:00+01:00,78,94.0,298.0
25,2024-01-12 13:00:00+01:00,133,129.0,302.0
26,2024-01-12 13:05:00+01:00,125,128.0,299.0
27,2024-01-12 13:10:00+01:00,117,143.0,273.0
28,2024-01-12 13:15:00+01:00,101,130.0,244.0
29,2024-01-12 13:20:00+01:00,81,100.0,225.0
30,2024-01-12 13:25:00+01:00,87,113.0,199.0
31,2024-01-12 13:30:00+01:00,81,102.0,178.0
32,2024-01-12 13:35:00+01:00,57,66.0,169.0
33,2024-01-12 13:40:00+01:00,63,75.0,157.0
34,2024-01-12 13:45:00+01:00,55,68.0,144.0
35,2024-01-12 13:50:00+01:00,73,88.0,129.0
36,2024-01-12 13:55:00+01:00,48,75.0,102.0
37,2024-01-12 14:00:00+01:00,34,77.0,59.0
38,2024-01-12 14:05:00+01:00,21,69.0,11.0
39,2024-01-12 14:10:00+01:00,1,12.0,0.0
