,frame.time,count_First,count_Last,count_CumSum
1,2024-01-09 11:05:00+01:00,15,4.0,15.0
2,2024-01-09 11:10:00+01:00,35,7.0,43.0
3,2024-01-09 11:15:00+01:00,40,10.0,73.0
4,2024-01-09 11:20:00+01:00,37,13.0,97.0
5,2024-01-09 11:25:00+01:00,21,15.0,103.0
6,2024-01-09 11:30:00+01:00,27,6.0,124.0
7,2024-01-09 11:35:00+01:00,42,24.0,142.0
8,2024-01-09 11:40:00+01:00,47,42.0,147.0
9,2024-01-09 11:45:00+01:00,45,58.0,134.0
10,2024-01-09 11:50:00+01:00,98,58.0,174.0
11,2024-01-09 11:55:00+01:00,101,62.0,213.0
12,2024-01-09 12:00:00+01:00,197,140.0,270.0
13,2024-01-09 12:05:00+01:00,110,69.0,311.0
14,2024-01-09 12:10:00+01:00,95,76.0,330.0
15,2024-01-09 12:15:00+01:00,61,56.0,335.0
16,2024-01-09 12:20:00+01:00,45,65.0,315.0
17,2024-01-09 12:25:00+01:00,64,61.0,318.0
18,2024-01-09 12:30:00+01:00,38,57.0,299.0
19,2024-01-09 12:35:00+01:00,51,56.0,294.0
20,2024-01-09 12:40:00+01:00,36,74.0,256.0
21,2024-01-09 12:45:00+01:00,27,56.0,227.0
22,2024-01-09 12:50:00+01:00,61,76.0,212.0
23,2024-01-09 12:55:00+01:00,46,53.0,205.0
24,2024-01-09 13:00:00+01:00,189,160.0,234.0
25,2024-01-09 13:05:00+01:00,150,119.0,265.0
26,2024-01-09 13:10:00+01:00,194,160.0,299.0
27,2024-01-09 13:15:00+01:00,232,198.0,333.0
28,2024-01-09 13:20:00+01:00,300,268.0,365.0
29,2024-01-09 13:25:00+01:00,180,187.0,358.0
30,2024-01-09 13:30:00+01:00,187,220.0,325.0
31,2024-01-09 13:35:00+01:00,159,191.0,293.0
32,2024-01-09 13:40:00+01:00,181,209.0,265.0
33,2024-01-09 13:45:00+01:00,108,158.0,215.0
34,2024-01-09 13:50:00+01:00,127,162.0,180.0
35,2024-01-09 13:55:00+01:00,108,148.0,140.0
36,2024-01-09 14:00:00+01:00,74,146.0,68.0
37,2024-01-09 14:05:00+01:00,33,101.0,0.0
