,frame.time,count_First,count_Last,count_CumSum
0,2024-01-10 11:00:00+01:00,18,1,17
1,2024-01-10 11:05:00+01:00,6,1,22
2,2024-01-10 11:10:00+01:00,16,4,34
3,2024-01-10 11:15:00+01:00,18,1,51
4,2024-01-10 11:20:00+01:00,12,4,59
5,2024-01-10 11:25:00+01:00,26,7,78
6,2024-01-10 11:30:00+01:00,33,17,94
7,2024-01-10 11:35:00+01:00,55,15,134
8,2024-01-10 11:40:00+01:00,55,17,172
9,2024-01-10 11:45:00+01:00,32,23,181
10,2024-01-10 11:50:00+01:00,76,36,221
11,2024-01-10 11:55:00+01:00,112,40,293
12,2024-01-10 12:00:00+01:00,149,62,380
13,2024-01-10 12:05:00+01:00,117,89,408
14,2024-01-10 12:10:00+01:00,130,73,465
15,2024-01-10 12:15:00+01:00,76,46,495
16,2024-01-10 12:20:00+01:00,78,64,509
17,2024-01-10 12:25:00+01:00,83,75,517
18,2024-01-10 12:30:00+01:00,70,122,465
19,2024-01-10 12:35:00+01:00,52,95,422
20,2024-01-10 12:40:00+01:00,67,107,382
21,2024-01-10 12:45:00+01:00,41,73,350
22,2024-01-10 12:50:00+01:00,25,92,283
23,2024-01-10 12:55:00+01:00,43,97,229
24,2024-01-10 13:00:00+01:00,76,83,222
25,2024-01-10 13:05:00+01:00,70,59,233
26,2024-01-10 13:10:00+01:00,51,46,238
27,2024-01-10 13:15:00+01:00,38,48,228
28,2024-01-10 13:20:00+01:00,37,44,221
29,2024-01-10 13:25:00+01:00,31,41,211
30,2024-01-10 13:30:00+01:00,35,50,196
31,2024-01-10 13:35:00+01:00,39,73,162
32,2024-01-10 13:40:00+01:00,37,52,147
33,2024-01-10 13:45:00+01:00,30,52,125
34,2024-01-10 13:50:00+01:00,48,31,142
35,2024-01-10 13:55:00+01:00,32,174,0
